DAY,TMAX
1.0,26.6
2.0,28.7
3.0,31.8
4.0,30.3
5.0,32.3
6.0,33.0
7.0,31.0
8.0,31.6
9.0,30.7
10.0,33.3
11.0,31.5
12.0,28.0
13.0,31.7
14.0,31.7
15.0,33.2
16.0,33.4
17.0,31.5
18.0,32.8
19.0,33.1
20.0,34.0
21.0,32.8
22.0,32.6
23.0,32.6
24.0,32.4
25.0,32.7
26.0,32.5
27.0,31.4
28.0,31.7
29.0,29.5
30.0,30.8
