DAY,TMAX
1.0,33.4
2.0,32.4
3.0,32.6
4.0,33.4
5.0,34.0
6.0,32.2
7.0,33.2
8.0,32.4
9.0,30.4
10.0,32.4
11.0,29.2
12.0,29.5
13.0,33.3
14.0,31.6
15.0,30.0
16.0,33.0
17.0,30.0
18.0,28.0
19.0,33.1
20.0,28.6
21.0,28.2
22.0,29.1
23.0,29.5
24.0,31.8
25.0,33.2
26.0,27.7
27.0,30.7
28.0,32.0
29.0,32.2
30.0,34.2
31.0,32.4
