YEAR,MONTH,DAY,TMAX,TMIN
2015,8,5,31.2,23.9
2015,8,6,31.5,23.9
2015,8,7,32.5,24.2
2015,8,8,32.7,24.3
2015,8,9,26.4,24.4
2015,8,10,30.5,24.4
2015,8,11,30.6,24.9
2015,8,12,29.9,24.2
2015,8,13,33.4,24
2015,8,14,32.2,25.3
2015,8,15,33.3,25.1
2015,8,16,33.6,25.6
2015,8,17,32.8,25.8
2015,8,18,32.7,23.7
2015,8,19,32.2,24.2
2015,8,20,29.9,24.2
2015,8,21,28.3,24.1
2015,8,22,28.1,23.8
2015,8,23,29.2,23.7
2015,8,24,25.9,23.5
2015,8,25,30.5,23.7
2015,8,26,31.8,23.7
2015,8,27,31.4,23.3
2015,8,28,31.8,23.2
2015,8,29,31.1,23.5
2015,8,30,31.2,22.3
2015,8,31,30.8,23.7
2015,9,1,30.5,24.4
2015,9,2,30.8,23.7
2015,9,3,32.1,23.9
2015,9,4,32.6,22.7
2015,9,5,31.9,23.9
2015,9,6,31.1,24.4
2015,9,7,31.7,25
2015,9,8,32.8,25.4
2015,9,9,32.2,24.7
2015,9,10,32.5,22.8
2015,9,11,33.3,24.6
2015,9,12,30.8,24.4
2015,9,13,32,24
2015,9,14,32.4,24.4
2015,9,15,33.2,24.6
2015,9,16,34.9,23.1
2015,9,17,34.2,24.7
2015,9,18,33,25.5
2015,9,19,33.6,25.4
2015,9,20,33,24.5
2015,9,21,33.2,24.1
2015,9,22,33.2,23.8
2015,9,23,32.2,24.6
2015,9,24,32.8,24.2
2015,9,25,33.2,25.6
2015,9,26,33.4,25.5
2015,9,27,31,24
2015,9,28,30,23.3
2015,9,29,32.4,25.2
2015,9,30,33.2,24.8
2015,10,1,32.6,23.1
2015,10,2,25.8,22.7
2015,10,3,32,23.8
2015,10,4,32.2,23.2
2015,10,5,33.2,25.2
2015,10,6,33.6,25.6
2015,10,7,33.7,25
2015,10,8,32.2,23.2
2015,10,9,31.8,22.6
2015,10,10,32.4,23.8
2015,10,11,34.9,23.8
2015,10,12,32.8,24.6
2015,10,13,32.6,25.2
2015,10,14,30.2,25
2015,10,15,31.4,24.2
2015,10,16,31.7,24.6
2015,10,17,29.2,25.6
2015,10,18,27.4,25
2015,10,19,29.8,25.2
2015,10,20,30.8,24.7
2015,10,21,32.2,22.8
2015,10,22,33.2,24
2015,10,23,30.4,23.8
2015,10,24,31.6,23.8
2015,10,25,33.3,25.4
2015,10,26,31.9,26.3
2015,10,27,33,24.8
2015,10,28,31.8,24.4
2015,10,29,31.2,24.4
2015,10,30,30.8,24.4
2015,10,31,31,24.4
2015,11,1,30,24.8
2015,11,2,31.6,25
2015,11,3,30.9,24.5
2015,11,4,32.8,24.9
2015,11,5,31.6,24.2
2015,11,6,31.6,24.8
2015,11,7,30.6,24.7
2015,11,8,32.6,24.9
2015,11,9,32.7,24.3
2015,11,10,32.4,24.2
2015,11,11,33.1,24.7
2015,11,12,32,24.7
2015,11,13,33.1,24.1
2015,11,14,32.1,24.3
2015,11,15,31.9,24.3
2015,11,16,30.5,24.8
2015,11,17,31.9,25.4
2015,11,18,30.7,23.8
2015,11,19,31.5,23.1
2015,11,20,31.6,23.5
2015,11,21,31.8,24.4
2015,11,22,32.8,24.5
2015,11,23,32.3,24.1
2015,11,24,33.8,24.3
2015,11,25,32.8,24
2015,11,26,32.6,23.6
2015,11,27,31.8,23.8
2015,11,28,30.7,25
2015,11,29,32.2,24.2
2015,11,30,32.8,24.2
2015,12,1,32,23.4
2015,12,2,32.8,22.5
2015,12,3,32.8,23
2015,12,4,32.4,24.8
2015,12,5,28.2,23.4
2015,12,6,31.8,24.6
2015,12,7,32.4,24.7
2015,12,8,31.6,24.4
2015,12,9,32.2,24.4
2015,12,10,32.2,25.4
2015,12,11,32,25.7
2015,12,12,32.8,24.5
2015,12,13,32.4,24
2015,12,14,32.6,25.6
2015,12,15,27.4,23.2
2015,12,16,23.8,21.7
2015,12,17,27.4,23
2015,12,18,30.2,23.5
2015,12,19,25.4,22.2
2015,12,20,29.4,23
2015,12,21,30.8,24
2015,12,22,29.8,21.8
2015,12,23,30.7,23.8
2015,12,24,30.6,23.3
2015,12,25,30.4,21.4
2015,12,26,30.4,22.2
2015,12,27,30.3,22.4
2015,12,28,29.4,22.2
2015,12,29,29.6,22.4
2015,12,30,29.8,23.8
2015,12,31,30.1,24.2
2016,1,1,28,22.8
2016,1,2,29.4,23.8
2016,1,3,30.4,22.2
2016,1,4,31.1,22.6
2016,1,5,30.7,20
2016,1,6,30.8,22.4
2016,1,7,29.6,23.2
2016,1,8,31.3,22.8
2016,1,9,30.6,23.2
2016,1,10,31.1,22.2
2016,1,11,30.7,23.2
2016,1,12,31.4,23.7
2016,1,13,31.6,24
2016,1,14,31.8,24.4
2016,1,15,31.4,23.4
2016,1,16,31.6,24
2016,1,17,31.5,23
2016,1,18,31.8,23.8
2016,1,19,30.4,24.8
2016,1,20,30.7,23.6
2016,1,21,30.8,22.8
2016,1,22,32.4,23.9
2016,1,23,32,24.2
